DATE,CMT_1MONTH,CMT_3MONTH,CMT_6MONTH,CMT_1YEAR,CMT_2YEAR,CMT_3YEAR,CMT_5YEAR,CMT_7YEAR,CMT_10YEAR,CMT_20YEAR,CMT_30YEAR,CMT_30YEARDISPLAY
2008/7/7,1.799999952,1.8700000047683716,2.099999905,2.25999999,2.470000029,2.779999971,3.230000019,3.529999971,3.950000048,4.550000191,4.510000229,0
2008/7/8,1.860000014,1.8600000143051147,2.089999914,2.25999999,2.470000029,2.779999971,3.190000057,3.49000001,3.910000086,4.510000229,4.460000038,0
2008/7/9,1.820000052,1.8200000524520874,2.049999952,2.210000038,2.410000086,2.710000038,3.109999895,3.420000076,3.849999905,4.46999979,4.420000076,0
2008/7/10,1.480000019,1.6699999570846558,2.00999999,2.200000048,2.440000057,2.720000029,3.099999905,3.400000095,3.829999924,4.46999979,4.420000076,0
2008/7/11,1.379999995,1.6200000047683716,2.019999981,2.299999952,2.589999914,2.880000114,3.269999981,3.549999952,3.960000038,4.570000172,4.519999981,0
2008/7/14,1.409999967,1.5199999809265137,1.950000048,2.230000019,2.470000029,2.789999962,3.200000048,3.49000001,3.900000095,4.519999981,4.46999979,0
2008/7/15,1.49000001,1.3899999856948853,1.899999976,2.150000095,2.390000105,2.700000048,3.119999886,3.430000067,3.869999886,4.519999981,4.480000019,0
2008/7/16,1.360000014,1.3700000047683716,1.889999986,2.160000086,2.440000057,2.75,3.200000048,3.519999981,3.970000029,4.639999866,4.590000153,0
2008/7/17,1.309999943,1.4299999475479126,1.919999957,2.25999999,2.579999924,2.890000105,3.349999905,3.650000095,4.070000172,4.699999809,4.650000095,0
2008/7/18,1.279999971,1.4800000190734863,1.909999967,2.25999999,2.660000086,2.970000029,3.420000076,3.710000038,4.110000134,4.710000038,4.659999847,0
2008/7/21,1.320000052,1.4800000190734863,1.929999948,2.299999952,2.660000086,2.970000029,3.410000086,3.690000057,4.090000153,4.690000057,4.639999866,0
2008/7/22,1.5,1.5499999523162842,1.950000048,2.329999924,2.74000001,3.049999952,3.480000019,3.75,4.139999866,4.730000019,4.670000076,0
2008/7/23,1.590000033,1.5900000333786011,1.909999967,2.400000095,2.809999943,3.099999905,3.50999999,3.769999981,4.159999847,4.760000229,4.690000057,0
2008/7/24,1.690000057,1.6499999761581421,1.899999976,2.25999999,2.609999895,2.920000076,3.369999886,3.640000105,4.03000021,4.659999847,4.599999905,0
2008/7/25,1.720000029,1.75,1.950000048,2.349999905,2.700000048,3.00999999,3.450000048,3.730000019,4.130000114,4.75,4.690000057,0
2008/7/28,1.679999948,1.7300000190734863,1.919999957,2.279999971,2.589999914,2.900000095,3.339999914,3.640000105,4.059999943,4.690000057,4.630000114,0
2008/7/29,1.730000019,1.7200000286102295,1.960000038,2.359999895,2.650000095,2.950000048,3.390000105,3.680000067,4.090000153,4.699999809,4.639999866,0
2008/7/30,1.659999967,1.7000000476837158,1.899999976,2.329999924,2.640000105,2.930000067,3.359999895,3.650000095,4.070000172,4.690000057,4.639999866,0
2008/7/31,1.549999952,1.6799999475479126,1.889999986,2.269999981,2.519999981,2.809999943,3.25,3.559999943,3.99000001,4.630000114,4.590000153,0
2008/8/1,1.519999981,1.6599999666213989,1.879999995,2.25,2.50999999,2.789999962,3.230000019,3.539999962,3.970000029,4.610000134,4.570000172,0
2008/8/4,1.610000014,1.75,1.970000029,2.269999981,2.529999971,2.809999943,3.230000019,3.549999952,3.980000019,4.619999886,4.579999924,0
2008/8/5,1.730000019,1.75,1.970000029,2.25999999,2.539999962,2.829999924,3.279999971,3.599999905,4.039999962,4.670000076,4.630000114,0
