DATE,CISS
2009/2/27,0.7762
2009/3/6,0.7944
2009/3/13,0.7534
2009/3/20,0.7533
2009/3/27,0.7893
2009/4/3,0.7639
2009/4/10,0.5898
2009/4/17,0.6916
2009/4/24,0.6728
2009/5/1,0.6589
2009/5/8,0.722
2009/5/15,0.6149
2009/5/22,0.5635
2009/5/29,0.4301
2009/6/5,0.6317
2009/6/12,0.5524
2009/6/19,0.6713
2009/6/26,0.6565
2009/7/3,0.6184
2009/7/10,0.5997
2009/7/17,0.5926
2009/7/24,0.5196
2009/7/31,0.5569
2009/8/7,0.5201
2009/8/14,0.4992
2009/8/21,0.4884
2009/8/28,0.4043
2009/9/4,0.3672
2009/9/11,0.4627
2009/9/18,0.3123
2009/9/25,0.3875
2009/10/2,0.4257
2009/10/9,0.4509
2009/10/16,0.3806
2009/10/23,0.3148
2009/10/30,0.4871
2009/11/6,0.4036
2009/11/13,0.3243
2009/11/20,0.3726
2009/11/27,0.3974
2009/12/4,0.383
2009/12/11,0.382
2009/12/18,0.3649
2009/12/25,0.2514
2010/1/1,0.2007
2010/1/8,0.2808
2010/1/15,0.296
2010/1/22,0.3569
2010/1/29,0.2847
2010/2/5,0.3318
2010/2/12,0.2974
2010/2/19,0.287
2010/2/26,0.3096
2010/3/5,0.3039
2010/3/12,0.2049
2010/3/19,0.2347
2010/3/26,0.1957
2010/4/2,0.1738
2010/4/9,0.2082
2010/4/16,0.2277
2010/4/23,0.2613
2010/4/30,0.2865
2010/5/7,0.3873
2010/5/14,0.4047
2010/5/21,0.4016
2010/5/28,0.4084
2010/6/4,0.3956
2010/6/11,0.3934
2010/6/18,0.3059
2010/6/25,0.3549
2010/7/2,0.4462
2010/7/9,0.3597
2010/7/16,0.372
2010/7/23,0.3453
2010/7/30,0.2723
2010/8/6,0.2766
2010/8/13,0.3411
2010/8/20,0.3211
2010/8/27,0.3513
2010/9/3,0.3483
2010/9/10,0.351
2010/9/17,0.3291
2010/9/24,0.3804
2010/10/1,0.2911
2010/10/8,0.3259
2010/10/15,0.2825
2010/10/22,0.3064
2010/10/29,0.2463
2010/11/5,0.2709
2010/11/12,0.2557
2010/11/19,0.2648
2010/11/26,0.3067
2010/12/3,0.3592
2010/12/10,0.2427
2010/12/17,0.2376
2010/12/24,0.1706
2010/12/31,0.1812
2011/1/7,0.2114
2011/1/14,0.2188
2011/1/21,0.2102
2011/1/28,0.1786
2011/2/4,0.1615
2011/2/11,0.1349
2011/2/18,0.1671
2011/2/25,0.1385
2011/3/4,0.1704
2011/3/11,0.1311
2011/3/18,0.2025
2011/3/25,0.2086
2011/4/1,0.1744
2011/4/8,0.1909
2011/4/15,0.1532
2011/4/22,0.2167
2011/4/29,0.1453
2011/5/6,0.2049
2011/5/13,0.1802
2011/5/20,0.1414
2011/5/27,0.1509
2011/6/3,0.1809
2011/6/10,0.1726
2011/6/17,0.2004
2011/6/24,0.1851
2011/7/1,0.2384
2011/7/8,0.2758
2011/7/15,0.3381
2011/7/22,0.3126
2011/7/29,0.3065
2011/8/5,0.4202
2011/8/12,0.5128
2011/8/19,0.4804
2011/8/26,0.4043
2011/9/2,0.4051
2011/9/9,0.5264
2011/9/16,0.5275
2011/9/23,0.5536
2011/9/30,0.5766
2011/10/7,0.6108
2011/10/14,0.6261
2011/10/21,0.5138
2011/10/28,0.54
2011/11/4,0.6555
2011/11/11,0.5739
2011/11/18,0.4846
2011/11/25,0.5478
2011/12/2,0.5174
2011/12/9,0.4529
2011/12/16,0.5002
2011/12/23,0.4001
2011/12/30,0.4159
2012/1/6,0.5259
2012/1/13,0.4675
2012/1/20,0.4628
2012/1/27,0.4365
2012/2/3,0.4227
2012/2/10,0.3731
2012/2/17,0.3168
2012/2/24,0.4003
2012/3/2,0.3401
