Date,h=1,h=3,h=12
8/1965,0.553883735,0.683279318,0.819227959
9/1965,0.564067333,0.686438772,0.819450115
10/1965,0.559820437,0.684261283,0.819971809
11/1965,0.557505652,0.68499513,0.822201466
12/1965,0.566487926,0.693965492,0.827850586
1/1966,0.569128744,0.697750357,0.830188643
2/1966,0.576206809,0.706377263,0.836241435
3/1966,0.583914888,0.714565304,0.842413736
4/1966,0.594999795,0.724144416,0.847149044
5/1966,0.601599826,0.730765672,0.851159119
6/1966,0.597195989,0.728737887,0.852647367
7/1966,0.597585904,0.729311728,0.85400032
8/1966,0.60325809,0.733607683,0.856820558
9/1966,0.608654765,0.738164067,0.860518813
10/1966,0.606841027,0.736072723,0.860420481
11/1966,0.60936792,0.737920121,0.861733395
12/1966,0.609422222,0.73898287,0.863750214
1/1967,0.616083315,0.744762366,0.866794389
2/1967,0.61710374,0.74520093,0.868931304
3/1967,0.609782996,0.738310379,0.866378147
4/1967,0.60951268,0.736650905,0.864541248
5/1967,0.608161909,0.736380869,0.864985432
6/1967,0.608505274,0.740233615,0.868536453
7/1967,0.613998559,0.746221602,0.87408964
8/1967,0.623704181,0.752638858,0.8760001
9/1967,0.620323701,0.752233625,0.877091314
10/1967,0.623241586,0.755237871,0.879919986
11/1967,0.640703973,0.770171118,0.887792157
12/1967,0.645606736,0.7746572,0.890144179
1/1968,0.659649314,0.783332557,0.89071359
2/1968,0.639428518,0.769301632,0.884203322
3/1968,0.621719693,0.754807455,0.878586732
4/1968,0.623886549,0.754769676,0.87693816
5/1968,0.615902272,0.745597314,0.870929869
6/1968,0.608667196,0.740635234,0.867654006
7/1968,0.601276583,0.733560517,0.863509122
8/1968,0.600328249,0.731531474,0.861645055
9/1968,0.595905544,0.728664749,0.860081908
10/1968,0.602207634,0.731891333,0.861354325
11/1968,0.606755519,0.73674071,0.8651086
12/1968,0.605099471,0.739288632,0.868852614
1/1969,0.604510969,0.741467342,0.87181813
2/1969,0.61084265,0.749327639,0.87852099
3/1969,0.613558836,0.755122738,0.886260919
4/1969,0.624933689,0.767890193,0.898539106
5/1969,0.63606031,0.780337505,0.909655436
6/1969,0.64021895,0.78423746,0.91132246
7/1969,0.640432996,0.784385254,0.91169148
8/1969,0.638084871,0.78199774,0.912098277
9/1969,0.637657531,0.779933932,0.910887733
10/1969,0.638961053,0.78096216,0.910914297
11/1969,0.653090718,0.789968455,0.914174449
12/1969,0.657950688,0.796781693,0.919290324
1/1970,0.680217256,0.815741178,0.927596899
2/1970,0.676623919,0.81896623,0.931395074
3/1970,0.677492523,0.821092115,0.934261431
4/1970,0.68372832,0.825512585,0.934739971
5/1970,0.680555035,0.824399185,0.933427695
6/1970,0.670713755,0.814345566,0.926718097
7/1970,0.669531982,0.812607115,0.924568579
8/1970,0.675397852,0.815710349,0.924781296
9/1970,0.687004819,0.822034118,0.92494093
10/1970,0.713201831,0.841232957,0.930405498
11/1970,0.710723876,0.841016741,0.931452276
12/1970,0.730999245,0.85427887,0.936322566
1/1971,0.695857417,0.827476409,0.925608967
2/1971,0.665005128,0.803510233,0.916964025
3/1971,0.639235802,0.781379745,0.90795454
